Category: All categories

Month,diet: (Egypt),gym: (Egypt),finance: (Egypt)
2004-01,0,0,0
2004-02,31,0,20
2004-03,100,0,34
2004-04,32,0,59
2004-05,22,22,12
2004-06,30,15,41
2004-07,26,10,14
2004-08,22,0,0
2004-09,0,15,39
2004-10,43,11,27
2004-11,52,0,0
2004-12,35,18,27
2005-01,0,0,27
2005-02,38,13,37
2005-03,27,0,37
2005-04,43,8,24
2005-05,32,0,19
2005-06,28,26,27
2005-07,12,0,7
2005-08,20,10,17
2005-09,13,9,16
2005-10,8,0,19
2005-11,20,11,18
2005-12,28,10,11
2006-01,14,11,15
2006-02,13,12,19
2006-03,13,5,18
2006-04,11,13,8
2006-05,35,7,18
2006-06,19,9,17
2006-07,4,11,12
2006-08,24,5,11
2006-09,12,9,11
2006-10,16,0,17
2006-11,18,6,13
2006-12,15,4,14
2007-01,17,6,15
2007-02,16,4,10
2007-03,16,3,15
2007-04,22,4,10
2007-05,16,9,13
2007-06,12,7,10
2007-07,12,5,7
2007-08,16,3,3
2007-09,9,4,8
2007-10,13,4,9
2007-11,17,5,7
2007-12,8,3,11
2008-01,13,4,11
2008-02,15,5,11
2008-03,11,6,12
2008-04,13,6,7
2008-05,10,4,6
2008-06,12,6,7
2008-07,8,3,7
2008-08,9,4,6
2008-09,7,6,10
2008-10,10,5,11
2008-11,12,5,13
2008-12,8,4,10
2009-01,10,5,7
2009-02,10,4,6
2009-03,11,4,9
2009-04,11,5,9
2009-05,12,6,8
2009-06,7,6,9
2009-07,11,4,8
2009-08,10,5,8
2009-09,9,5,9
2009-10,11,7,7
2009-11,10,5,8
2009-12,10,6,8
2010-01,11,4,8
2010-02,11,4,9
2010-03,11,6,9
2010-04,10,5,6
2010-05,12,5,9
2010-06,11,6,7
2010-07,8,5,5
2010-08,8,6,7
2010-09,10,7,8
2010-10,10,7,8
2010-11,9,6,8
2010-12,8,5,11
2011-01,10,4,8
2011-02,7,3,5
2011-03,8,5,5
2011-04,10,4,6
2011-05,10,6,7
2011-06,9,6,6
2011-07,9,5,4
2011-08,7,5,5
2011-09,10,7,7
2011-10,9,6,7
2011-11,8,5,5
2011-12,9,6,6
2012-01,8,6,5
2012-02,8,7,5
2012-03,8,7,6
2012-04,9,8,5
2012-05,9,8,4
2012-06,8,6,4
2012-07,7,8,5
2012-08,8,9,4
2012-09,11,9,5
2012-10,10,8,5
2012-11,10,9,4
2012-12,9,7,4
2013-01,9,8,5
2013-02,11,9,5
2013-03,10,9,5
2013-04,10,10,5
2013-05,10,8,5
2013-06,9,8,4
2013-07,6,7,3
2013-08,8,13,3
2013-09,9,10,4
2013-10,9,9,4
2013-11,10,9,5
2013-12,8,9,4
2014-01,8,8,4
2014-02,9,10,4
2014-03,11,10,4
2014-04,11,12,4
2014-05,9,12,4
2014-06,8,12,3
2014-07,7,10,3
2014-08,9,11,4
2014-09,9,11,4
2014-10,9,11,5
2014-11,10,12,4
2014-12,8,10,5
2015-01,7,9,4
2015-02,8,12,4
2015-03,10,13,4
2015-04,11,14,4
2015-05,10,13,4
2015-06,8,13,4
2015-07,7,12,3
2015-08,9,14,4
2015-09,8,14,4
2015-10,9,14,5
2015-11,9,12,5
2015-12,8,12,4
2016-01,8,9,4
2016-02,7,12,5
2016-03,9,12,4
2016-04,9,12,3
2016-05,7,12,3
2016-06,6,12,3
2016-07,7,14,3
2016-08,7,14,3
2016-09,7,13,3
2016-10,8,13,4
2016-11,7,13,5
2016-12,7,12,4
2017-01,7,11,3
2017-02,7,13,3
2017-03,9,12,5
2017-04,8,13,4
2017-05,8,14,4
2017-06,6,17,4
2017-07,9,21,5
2017-08,8,17,4
2017-09,8,13,3
2017-10,9,15,4
2017-11,7,15,5
2017-12,7,13,5
2018-01,7,14,3
2018-02,9,16,5
2018-03,10,16,5
2018-04,10,15,4
2018-05,8,14,4
2018-06,7,15,3
2018-07,9,18,4
2018-08,10,17,5
2018-09,11,20,7
2018-10,11,16,7
2018-11,11,15,7
2018-12,10,16,8
2019-01,11,15,9
2019-02,13,17,8
2019-03,14,19,7
2019-04,11,14,6
2019-05,11,14,7
2019-06,13,19,8
2019-07,12,21,7
2019-08,11,17,7
2019-09,11,18,7
2019-10,12,19,7
2019-11,11,18,8
2019-12,10,16,8
2020-01,9,14,7
2020-02,10,15,7
2020-03,9,13,8
2020-04,7,7,5
2020-05,9,7,7
2020-06,11,9,6
2020-07,9,13,6
2020-08,9,16,5
2020-09,9,17,5
2020-10,7,14,5
2020-11,7,12,6
2020-12,7,11,5
2021-01,7,12,4
2021-02,8,13,4
2021-03,7,13,5
2021-04,7,13,5
2021-05,7,14,5
2021-06,8,18,6
2021-07,7,16,5
2021-08,7,18,6
2021-09,8,16,7
2021-10,7,16,8
2021-11,7,14,7
2021-12,6,12,6
2022-01,6,12,6
2022-02,7,13,5
2022-03,8,13,7
2022-04,6,14,5
2022-05,7,16,6
2022-06,7,18,6
2022-07,6,18,4
2022-08,6,19,5
