jop_title, company_name, jop_type
Senior Data Scientist, Fixed Solutions -, Full Time
Senior Data Scientist, BBI-Consultancy -, Full Time
Data Scientist, Confidential -, Full Time
Data Scientist, Seoudi Supermarket -, Full Time
Data Scientist “Mathematics/Physics”, Dafa -, Full Time
Junior Data Scientist, Limitless Labs -, Full Time
Senior Data Engineer, Edentech -, Full Time
Data Annotation, GAP CLOUD -, Full Time
Business Intelligence Specialist, Perfect Presentation -, Full Time
Offline Marketing Executive, Hamza Group -, Full Time
Full Stack Developer, empoweromics -, Full Time
Senior Full Stack Developer, Confidential -, Full Time
